"sid","r","n_type","heterog","theta","theta1","theta2","C","n","w12","p11","p22","p12","pi01","pi11","pi02","pi12","B"
59,0.5,"Equal","None",0.56,0.56,0.56,10,30,0.8,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
60,0.5,"Equal","None",0.56,0.56,0.56,10,30,0.8,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
61,0.5,"Equal","None",0.56,0.56,0.56,20,10,0.2,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
62,0.5,"Equal","None",0.56,0.56,0.56,20,10,0.2,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
63,0.5,"Equal","None",0.56,0.56,0.56,20,10,0.5,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
64,0.5,"Equal","None",0.56,0.56,0.56,20,10,0.5,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
65,0.5,"Equal","None",0.56,0.56,0.56,20,10,0.8,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
66,0.5,"Equal","None",0.56,0.56,0.56,20,10,0.8,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
67,0.5,"Equal","None",0.56,0.56,0.56,20,30,0.2,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
68,0.5,"Equal","None",0.56,0.56,0.56,20,30,0.2,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
69,0.5,"Equal","None",0.56,0.56,0.56,20,30,0.5,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
70,0.5,"Equal","None",0.56,0.56,0.56,20,30,0.5,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
71,0.5,"Equal","None",0.56,0.56,0.56,20,30,0.8,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
72,0.5,"Equal","None",0.56,0.56,0.56,20,30,0.8,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
73,0.5,"Equal","None",0.56,0.56,0.56,30,10,0.2,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
74,0.5,"Equal","None",0.56,0.56,0.56,30,10,0.2,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
75,0.5,"Equal","None",0.56,0.56,0.56,30,10,0.5,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
76,0.5,"Equal","None",0.56,0.56,0.56,30,10,0.5,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
77,0.5,"Equal","None",0.56,0.56,0.56,30,10,0.8,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
78,0.5,"Equal","None",0.56,0.56,0.56,30,10,0.8,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
79,0.5,"Equal","None",0.56,0.56,0.56,30,30,0.2,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
80,0.5,"Equal","None",0.56,0.56,0.56,30,30,0.2,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
81,0.5,"Equal","None",0.56,0.56,0.56,30,30,0.5,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
82,0.5,"Equal","None",0.56,0.56,0.56,30,30,0.5,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
83,0.5,"Equal","None",0.56,0.56,0.56,30,30,0.8,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
84,0.5,"Equal","None",0.56,0.56,0.56,30,30,0.8,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
85,0.5,"Equal","None",0.56,0.56,0.56,50,10,0.2,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
86,0.5,"Equal","None",0.56,0.56,0.56,50,10,0.2,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
87,0.5,"Equal","None",0.56,0.56,0.56,50,10,0.5,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
88,0.5,"Equal","None",0.56,0.56,0.56,50,10,0.5,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
89,0.5,"Equal","None",0.56,0.56,0.56,50,10,0.8,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
90,0.5,"Equal","None",0.56,0.56,0.56,50,10,0.8,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
91,0.5,"Equal","None",0.56,0.56,0.56,50,30,0.2,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
92,0.5,"Equal","None",0.56,0.56,0.56,50,30,0.2,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
93,0.5,"Equal","None",0.56,0.56,0.56,50,30,0.5,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
94,0.5,"Equal","None",0.56,0.56,0.56,50,30,0.5,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
95,0.5,"Equal","None",0.56,0.56,0.56,50,30,0.8,0.1,0.05,0.025,0.3,0.3521,0.3,0.3418,5000
96,0.5,"Equal","None",0.56,0.56,0.56,50,30,0.8,0.1,0.05,0.025,0.5,0.555,0.5,0.5444,5000
97,0.5,"Equal","None",0.64,0.64,0.64,10,10,0.2,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
98,0.5,"Equal","None",0.64,0.64,0.64,10,10,0.2,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
99,0.5,"Equal","None",0.64,0.64,0.64,10,10,0.5,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
100,0.5,"Equal","None",0.64,0.64,0.64,10,10,0.5,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
101,0.5,"Equal","None",0.64,0.64,0.64,10,10,0.8,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
102,0.5,"Equal","None",0.64,0.64,0.64,10,10,0.8,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
103,0.5,"Equal","None",0.64,0.64,0.64,10,30,0.2,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
104,0.5,"Equal","None",0.64,0.64,0.64,10,30,0.2,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
105,0.5,"Equal","None",0.64,0.64,0.64,10,30,0.5,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
106,0.5,"Equal","None",0.64,0.64,0.64,10,30,0.5,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
107,0.5,"Equal","None",0.64,0.64,0.64,10,30,0.8,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
108,0.5,"Equal","None",0.64,0.64,0.64,10,30,0.8,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
109,0.5,"Equal","None",0.64,0.64,0.64,20,10,0.2,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
110,0.5,"Equal","None",0.64,0.64,0.64,20,10,0.2,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
111,0.5,"Equal","None",0.64,0.64,0.64,20,10,0.5,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
112,0.5,"Equal","None",0.64,0.64,0.64,20,10,0.5,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
113,0.5,"Equal","None",0.64,0.64,0.64,20,10,0.8,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
114,0.5,"Equal","None",0.64,0.64,0.64,20,10,0.8,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
115,0.5,"Equal","None",0.64,0.64,0.64,20,30,0.2,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
116,0.5,"Equal","None",0.64,0.64,0.64,20,30,0.2,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
117,0.5,"Equal","None",0.64,0.64,0.64,20,30,0.5,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
118,0.5,"Equal","None",0.64,0.64,0.64,20,30,0.5,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
119,0.5,"Equal","None",0.64,0.64,0.64,20,30,0.8,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
120,0.5,"Equal","None",0.64,0.64,0.64,20,30,0.8,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
121,0.5,"Equal","None",0.64,0.64,0.64,30,10,0.2,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
122,0.5,"Equal","None",0.64,0.64,0.64,30,10,0.2,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
123,0.5,"Equal","None",0.64,0.64,0.64,30,10,0.5,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
124,0.5,"Equal","None",0.64,0.64,0.64,30,10,0.5,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
125,0.5,"Equal","None",0.64,0.64,0.64,30,10,0.8,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
126,0.5,"Equal","None",0.64,0.64,0.64,30,10,0.8,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
127,0.5,"Equal","None",0.64,0.64,0.64,30,30,0.2,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
128,0.5,"Equal","None",0.64,0.64,0.64,30,30,0.2,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
129,0.5,"Equal","None",0.64,0.64,0.64,30,30,0.5,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
130,0.5,"Equal","None",0.64,0.64,0.64,30,30,0.5,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
131,0.5,"Equal","None",0.64,0.64,0.64,30,30,0.8,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
132,0.5,"Equal","None",0.64,0.64,0.64,30,30,0.8,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
133,0.5,"Equal","None",0.64,0.64,0.64,50,10,0.2,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
134,0.5,"Equal","None",0.64,0.64,0.64,50,10,0.2,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
135,0.5,"Equal","None",0.64,0.64,0.64,50,10,0.5,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
136,0.5,"Equal","None",0.64,0.64,0.64,50,10,0.5,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
137,0.5,"Equal","None",0.64,0.64,0.64,50,10,0.8,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
138,0.5,"Equal","None",0.64,0.64,0.64,50,10,0.8,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
139,0.5,"Equal","None",0.64,0.64,0.64,50,30,0.2,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
140,0.5,"Equal","None",0.64,0.64,0.64,50,30,0.2,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
141,0.5,"Equal","None",0.64,0.64,0.64,50,30,0.5,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
142,0.5,"Equal","None",0.64,0.64,0.64,50,30,0.5,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
143,0.5,"Equal","None",0.64,0.64,0.64,50,30,0.8,0.1,0.05,0.025,0.3,0.4259,0.3,0.4009,5000
144,0.5,"Equal","None",0.64,0.64,0.64,50,30,0.8,0.1,0.05,0.025,0.5,0.6292,0.5,0.6048,5000
145,0.5,"Equal","None",0.71,0.71,0.71,10,10,0.2,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
146,0.5,"Equal","None",0.71,0.71,0.71,10,10,0.2,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
147,0.5,"Equal","None",0.71,0.71,0.71,10,10,0.5,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
148,0.5,"Equal","None",0.71,0.71,0.71,10,10,0.5,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
149,0.5,"Equal","None",0.71,0.71,0.71,10,10,0.8,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
150,0.5,"Equal","None",0.71,0.71,0.71,10,10,0.8,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
151,0.5,"Equal","None",0.71,0.71,0.71,10,30,0.2,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
152,0.5,"Equal","None",0.71,0.71,0.71,10,30,0.2,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
153,0.5,"Equal","None",0.71,0.71,0.71,10,30,0.5,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
154,0.5,"Equal","None",0.71,0.71,0.71,10,30,0.5,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
155,0.5,"Equal","None",0.71,0.71,0.71,10,30,0.8,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
156,0.5,"Equal","None",0.71,0.71,0.71,10,30,0.8,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
157,0.5,"Equal","None",0.71,0.71,0.71,20,10,0.2,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
158,0.5,"Equal","None",0.71,0.71,0.71,20,10,0.2,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
159,0.5,"Equal","None",0.71,0.71,0.71,20,10,0.5,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
160,0.5,"Equal","None",0.71,0.71,0.71,20,10,0.5,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
161,0.5,"Equal","None",0.71,0.71,0.71,20,10,0.8,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
162,0.5,"Equal","None",0.71,0.71,0.71,20,10,0.8,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
163,0.5,"Equal","None",0.71,0.71,0.71,20,30,0.2,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
164,0.5,"Equal","None",0.71,0.71,0.71,20,30,0.2,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
165,0.5,"Equal","None",0.71,0.71,0.71,20,30,0.5,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
166,0.5,"Equal","None",0.71,0.71,0.71,20,30,0.5,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
167,0.5,"Equal","None",0.71,0.71,0.71,20,30,0.8,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
168,0.5,"Equal","None",0.71,0.71,0.71,20,30,0.8,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
169,0.5,"Equal","None",0.71,0.71,0.71,30,10,0.2,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
170,0.5,"Equal","None",0.71,0.71,0.71,30,10,0.2,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
171,0.5,"Equal","None",0.71,0.71,0.71,30,10,0.5,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
172,0.5,"Equal","None",0.71,0.71,0.71,30,10,0.5,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
173,0.5,"Equal","None",0.71,0.71,0.71,30,10,0.8,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
174,0.5,"Equal","None",0.71,0.71,0.71,30,10,0.8,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
175,0.5,"Equal","None",0.71,0.71,0.71,30,30,0.2,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
176,0.5,"Equal","None",0.71,0.71,0.71,30,30,0.2,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
177,0.5,"Equal","None",0.71,0.71,0.71,30,30,0.5,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
178,0.5,"Equal","None",0.71,0.71,0.71,30,30,0.5,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
179,0.5,"Equal","None",0.71,0.71,0.71,30,30,0.8,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
180,0.5,"Equal","None",0.71,0.71,0.71,30,30,0.8,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
181,0.5,"Equal","None",0.71,0.71,0.71,50,10,0.2,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
182,0.5,"Equal","None",0.71,0.71,0.71,50,10,0.2,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
183,0.5,"Equal","None",0.71,0.71,0.71,50,10,0.5,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
184,0.5,"Equal","None",0.71,0.71,0.71,50,10,0.5,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
185,0.5,"Equal","None",0.71,0.71,0.71,50,10,0.8,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
186,0.5,"Equal","None",0.71,0.71,0.71,50,10,0.8,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
187,0.5,"Equal","None",0.71,0.71,0.71,50,30,0.2,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
188,0.5,"Equal","None",0.71,0.71,0.71,50,30,0.2,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
189,0.5,"Equal","None",0.71,0.71,0.71,50,30,0.5,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
190,0.5,"Equal","None",0.71,0.71,0.71,50,30,0.5,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
191,0.5,"Equal","None",0.71,0.71,0.71,50,30,0.8,0.1,0.05,0.025,0.3,0.496,0.3,0.4575,5000
192,0.5,"Equal","None",0.71,0.71,0.71,50,30,0.8,0.1,0.05,0.025,0.5,0.6963,0.5,0.6601,5000
193,0.5,"Equal","Large",0.5,0.395,0.605,10,10,0.2,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
194,0.5,"Equal","Large",0.5,0.395,0.605,10,10,0.2,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
195,0.5,"Equal","Large",0.5,0.395,0.605,10,10,0.5,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
196,0.5,"Equal","Large",0.5,0.395,0.605,10,10,0.5,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
197,0.5,"Equal","Large",0.5,0.395,0.605,10,10,0.8,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
198,0.5,"Equal","Large",0.5,0.395,0.605,10,10,0.8,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
199,0.5,"Equal","Large",0.5,0.395,0.605,10,30,0.2,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
200,0.5,"Equal","Large",0.5,0.395,0.605,10,30,0.2,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
201,0.5,"Equal","Large",0.5,0.395,0.605,10,30,0.5,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
202,0.5,"Equal","Large",0.5,0.395,0.605,10,30,0.5,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
203,0.5,"Equal","Large",0.5,0.395,0.605,10,30,0.8,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
204,0.5,"Equal","Large",0.5,0.395,0.605,10,30,0.8,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
205,0.5,"Equal","Large",0.5,0.395,0.605,20,10,0.2,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
206,0.5,"Equal","Large",0.5,0.395,0.605,20,10,0.2,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
207,0.5,"Equal","Large",0.5,0.395,0.605,20,10,0.5,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
208,0.5,"Equal","Large",0.5,0.395,0.605,20,10,0.5,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
209,0.5,"Equal","Large",0.5,0.395,0.605,20,10,0.8,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
210,0.5,"Equal","Large",0.5,0.395,0.605,20,10,0.8,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
211,0.5,"Equal","Large",0.5,0.395,0.605,20,30,0.2,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
212,0.5,"Equal","Large",0.5,0.395,0.605,20,30,0.2,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
